TAZ,households
181305,410
181306,413
181307,26
181308,22
181309,47
181310,3
181311,109
181312,182
181313,313
181314,427
181315,516
181316,41
181317,30
181318,3
181319,612
181320,3
181321,460
181322,259
181323,551
181324,683
181325,812
181326,566
181327,460
181328,307
181329,156
181330,169
181331,331
181332,523
181333,338
181334,344
181335,152
181336,8
181337,3
181338,13
181339,339
181340,478
181341,185
181342,510
181343,49
181344,9
181345,5
181346,194
181347,194
181348,290
181349,106
181350,7
181351,32
181352,260
181353,5
181354,423
181355,37
181356,109
181357,119
181358,88
181359,177
181360,62
181361,37
181362,11
181363,33
181364,192
181365,80
181366,45
181367,8
181368,20
181369,26
181370,87
181371,46
181372,124
181373,151
181374,29
181375,108
181376,87
181377,95
181378,187
181379,89
181380,56
181381,111
181382,101
181383,34
181384,69
181385,283
181386,1
181387,398
181388,197
181389,19
181390,76
181391,51
181392,22
181393,276
181394,115
181395,213
181396,7
181397,22
181398,112
181399,50
181400,70
181401,48
181402,43
181403,593
181404,6
181405,37
181406,268
181407,175
181408,373
181409,156
181410,48
181411,19
181412,49
181413,40
181414,43
181415,35
181416,148
181417,221
181418,750
181419,107
181420,25
181421,22
181422,12
181423,92
181424,43
181425,102
181426,94
181427,58
181428,12
181429,59
181430,113
181431,61
181432,20
181433,4
181434,209
181435,42
181436,144
181437,290
181438,22
181439,101
181440,32
181441,14
181442,38
181443,314
181444,57
181445,760
181446,44
181447,57
181448,87
181449,36
181450,20
181451,20
181452,447
181453,194
181454,73
181455,185
181456,313
181457,666
181458,235
181459,266
181460,546
181461,18
181462,148
181463,27
181464,106
181465,46
181466,171
181467,365
181468,792
210000,148
210001,299
210002,96
210003,70
210004,210
210005,20
210006,311
210007,434
210008,194
210009,250
210010,186
210011,204
210012,37
210013,271
210014,373
210015,27
210016,60
210017,225
210018,80
210019,257
210020,302
210021,22
210022,721
210023,353
210024,105
210025,103
210026,317
210027,279
210028,431
210029,1089
210030,444
210031,539
210032,166
210033,209
210034,930
210035,217
210036,155
210037,369
210038,112
210039,182
210040,462
210041,70
210042,228
210043,57
210044,51
210045,37
210046,47
210047,28
210048,274
210049,256
210050,20
210051,126
210052,195
210053,61
210054,63
210055,381
210056,26
210057,342
210058,159
210059,740
210060,147
210061,475
210062,293
210063,92
210064,527
210065,163
210066,351
210067,211
210068,139
210069,420
210070,84
210071,195
210072,149
210073,1027
210074,5
210075,87
210076,7
210077,0
210078,464
210079,20
210080,1065
210081,333
210082,4
210083,276
210084,158
210085,15
210086,44
210087,75
210088,84
210089,286
210090,76
210091,52
210092,669
210093,1000
210094,864
210095,112
210096,334
210097,823
210098,357
210099,510
210100,58
210101,31
210102,248
210103,2036
210104,554
210105,443
210106,210
210107,571
210108,626
210109,125
210110,2
210111,114
210112,585
210113,320
210114,161
210115,0
210116,735
210117,372
210118,163
210119,56
210120,312
210121,130
210122,234
210123,234
210124,414
210125,692
210126,237
210127,797
210128,412
210129,62
210130,473
210131,310
210132,269
210133,333
210134,328
210135,542
210136,351
210137,85
210138,108
210139,212
210140,152
210141,302
210142,244
210143,339
210144,492
210145,235
210146,273
210147,237
210148,102
210149,472
210150,57
210151,36
210152,117
210153,171
210154,119
210155,60
210156,680
210157,938
210158,82
210159,1305
210160,981
210161,1124
210162,1090
210163,52
210164,230
210165,1979
210166,920
210167,591
210168,234
210169,7
210170,107
210171,162
210172,126
210173,35
210174,46
210175,82
210176,289
210177,479
210178,529
210179,377
210180,120
210181,206
210182,740
210183,553
210184,313
210185,458
210186,72
210187,183
210188,218
210189,185
210190,828
210191,193
210192,226
210193,213
210194,426
210195,573
210196,365
210197,1005
210198,441
210199,300
210200,122
210201,66
210202,215
210203,384
210204,155
210205,186
210206,202
210207,508
210208,163
210209,269
210210,406
210211,77
210212,594
210213,802
210214,161
210215,145
210216,594
210217,489
210218,678
210219,74
210220,69
210221,755
210222,490
210223,619
210224,745
210225,194
210226,430
210227,733
210228,371
210229,179
210230,368
210231,610
210232,200
210233,146
210234,97
210235,75
210236,79
210237,292
210238,500
210239,188
210240,135
210241,784
210242,674
210243,179
210244,45
210245,88
210246,165
210247,252
210248,116
210249,34
210250,594
210251,65
210252,18
210253,487
210254,335
210255,80
210256,323
210257,92
210258,143
210259,73
210260,141
210261,19
210262,146
210263,44
210264,28
210265,140
210266,2
210267,490
210268,693
210269,119
210270,11
210271,148
210272,14
210273,767
210274,6
210275,165
210276,805
210277,336
210278,66
210279,16
210280,37
210281,237
210282,44
210283,70
210284,303
210285,250
210286,260
210287,18
210288,160
210289,22
210290,184
210291,37
210292,296
210293,194
210294,49
210295,238
210296,311
210297,503
210298,440
210299,425
210300,310
210301,328
210302,547
210303,357
210304,113
210305,158
210306,154
210307,524
210308,494
210309,554
210310,114
210311,746
210312,125
210313,221
210314,168
210315,1931
210316,816
210317,94
210318,11
210319,1482
210320,141
210321,606
210322,1950
210323,795
210324,556
210325,513
210326,245
210327,212
210328,206
210329,367
210330,195
210331,630
210332,446
210333,51
210334,221
210335,44
210336,94
210337,14
210338,1433
210339,2583
210340,1141
210341,41
210342,293
210343,242
210344,526
210345,17
210346,14
210347,222
210348,42
210349,316
210350,1052
210351,590
210352,69
210353,40
210354,330
210355,2256
210356,579
210357,218
210358,90
210359,66
210360,217
210361,716
210362,98
210363,1117
210364,41
210365,197
210366,227
210367,105
210368,630
210369,495
210370,83
210371,348
210372,452
210373,695
210374,548
210375,15
210376,13
210377,0
210378,504
210379,58
210380,241
210381,83
210382,318
210383,51
210384,386
210385,7
210386,70
210387,797
210388,2057
210389,517
210390,387
210391,355
210392,664
210393,199
210394,112
210395,742
210396,1894
210397,434
210398,388
210399,270
210400,389
210401,69
210402,288
210403,187
210404,139
210405,396
210406,178
210407,222
210408,1
210409,1163
210410,347
210411,379
210412,263
210413,95
210414,116
210415,100
210416,76
210417,118
210418,139
210419,405
210420,180
210421,239
210422,628
210423,224
210424,53
210425,51
210426,181
210427,355
210428,152
210429,126
210430,327
210431,164
210432,275
210433,562
210434,428
210435,302
210436,288
210437,248
210438,356
210439,532
210440,532
210441,77
210442,335
210443,746
210444,641
210445,135
210446,219
210447,441
210448,281
210449,313
210450,990
210451,52
210452,225
210453,123
210454,97
210455,337
210456,106
210457,112
210458,27
210459,166
210460,123
210461,126
210462,16
210463,928
210464,645
210465,935
210466,395
210467,239
210468,272
210469,49
210470,396
210471,316
210472,127
210473,254
210474,336
210475,41
210476,165
210477,411
210478,232
210479,329
210480,187
210481,1152
210482,59
210483,150
210484,293
210485,238
210486,233
